Country	2018	2019	2020	2021	2022
Anguilla	1	6	6	0	0
Antigua and Barbuda	8	1,223	407	46	4
Argentina	1,829	3,220	59,358	3,972	381
Aruba	9	106	11	4	2
Bahamas	10	27	3	0	0
Barbados	67	117	1,352	448	15
Belize	2,326	13,316	2,785	1,251	0
Bermuda	0	2	0	0	0
Bolivia	7,727	19,987	111,347	8,947	6,592
Bonaire, Saint Eustatius and Saba	0	0	0	0	0
Brazil	462,326	2,248,570	1,467,142	975,474	1,476,486
Canada	0	0	0	0	0
Cayman Islands	24	133	35	1	2
Chile	18	29	9	0	0
Colombia	44,825	127,553	78,979	53,334	26,657
Costa Rica	2,735	9,400	10,056	5,174	1,546
Cuba	2,128	3,259	1,418	1,160	450
Curaçao	0	0	0	0	0
Dominica	45	1,066	88	65	16
Dominican Republic	1,558	20,183	3,964	3,746	1,904
Ecuador	3,094	8,416	16,570	20,592	9,531
El Salvador	8,448	27,470	5,450	5,752	7,530
French Guiana	240	250	8,759	1,756	0
Grenada	463	106	253	230	95
Guadeloupe	438	3,230	19,407	540	0
Guatemala	6,830	50,432	5,983	2,861	1,497
Guyana	286	230	403	129	0
Haiti	90	93	29	31	0
Honduras	7,942	132,143	25,180	19,753	6,549
Jamaica	986	7,555	824	60	9
Martinique	73	1,530	32,398	1,073	0
Mexico	78,621	268,458	120,639	36,742	9,571
Montserrat	1	1	0	3	1
Nicaragua	58,746	186,173	53,953	36,741	17,452
Panama	6,908	9,448	3,939	2,953	1,441
Paraguay	32,359	11,811	223,782	16,897	4,108
Peru	6,930	17,143	56,394	49,274	51,671
Puerto Rico	0	37	914	636	151
Saint Barthelemy	0	11	1,616	70	0
Saint Kitts and Nevis	6	46	20	0	1
Saint Lucia	90	20	1,318	39	4
Saint Martin	104	260	2,736	172	0
Saint Vincent and the Grenadines	4	11	1,790	115	12
Sint Maarten	29	8	9	0	0
Suriname	123	86	563	10	2
Trinidad and Tobago	123	416	59	20	14
Turks and Caicos Islands	2	19	142	4	0
United States of America	331	1,158	307	114	81
Uruguay	0	0	4	52	29
Venezuela	19,118	16,015	6,721	5,926	2,043
Virgin Islands (UK)	60	78	44	14	11
Virgin Islands (US)	0	0	0	0	0
Total	758,081	3,190,851	2,327,166	1,256,181	1,625,858
